,scores,weight,cluster,mean,var,date,doc_id
7,-0.0010199999999999988,0.34375,10,0.013116363636363638,0.003308700132231404,2011-01-20,122
8,0.0,0.34375,10,0.013116363636363638,0.003308700132231404,2011-01-20,122
9,-0.0545,0.34375,10,0.013116363636363638,0.003308700132231404,2011-01-20,122
10,0.004,0.34375,10,0.013116363636363638,0.003308700132231404,2011-01-20,122
0,0.0,0.09375,11,0.0941,0.01770962,2011-01-20,122
1,0.0,0.09375,11,0.0941,0.01770962,2011-01-20,122
2,0.2823,0.09375,11,0.0941,0.01770962,2011-01-20,122
0,0.004,0.09375,12,0.0013333333333333333,3.555555555555556e-06,2011-01-20,122
1,0.0,0.09375,12,0.0013333333333333333,3.555555555555556e-06,2011-01-20,122
2,0.0,0.09375,12,0.0013333333333333333,3.555555555555556e-06,2011-01-20,122
0,0.0,0.09375,13,0.0013333333333333333,3.555555555555556e-06,2011-01-20,122
1,0.004,0.09375,13,0.0013333333333333333,3.555555555555556e-06,2011-01-20,122
2,0.0,0.09375,13,0.0013333333333333333,3.555555555555556e-06,2011-01-20,122
0,-0.097925,0.1111111111111111,0,-0.02348125,0.0018499573046875002,2011-05-27,123
1,0.004,0.1111111111111111,0,-0.02348125,0.0018499573046875002,2011-05-27,123
2,0.0,0.1111111111111111,0,-0.02348125,0.0018499573046875002,2011-05-27,123
3,0.0,0.1111111111111111,0,-0.02348125,0.0018499573046875002,2011-05-27,123
0,0.3733,0.027777777777777776,1,0.3733,0.0,2011-05-27,123
0,-0.0991,0.05555555555555555,3,-0.294,0.03798601,2011-05-27,123
1,-0.4889,0.05555555555555555,3,-0.294,0.03798601,2011-05-27,123
0,0.01965,0.08333333333333333,5,0.00655,8.580500000000001e-05,2011-05-27,123
1,0.0,0.08333333333333333,5,0.00655,8.580500000000001e-05,2011-05-27,123
2,0.0,0.08333333333333333,5,0.00655,8.580500000000001e-05,2011-05-27,123
0,0.0,0.1111111111111111,6,-0.11875,0.018757687500000002,2011-05-27,123
1,0.0,0.1111111111111111,6,-0.11875,0.018757687500000002,2011-05-27,123
2,-0.334,0.1111111111111111,6,-0.11875,0.018757687500000002,2011-05-27,123
3,-0.141,0.1111111111111111,6,-0.11875,0.018757687500000002,2011-05-27,123
0,-0.4967,0.1111111111111111,10,-0.296625,0.033195256874999995,2011-05-27,123
1,-0.3521,0.1111111111111111,10,-0.296625,0.033195256874999995,2011-05-27,123
2,0.0,0.1111111111111111,10,-0.296625,0.033195256874999995,2011-05-27,123
3,-0.3377,0.1111111111111111,10,-0.296625,0.033195256874999995,2011-05-27,123
0,-0.0048,0.027777777777777776,11,-0.0048,0.0,2011-05-27,123
0,0.0,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
1,0.004,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
2,-0.1671,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
3,-0.8074,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
4,0.004,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
5,0.004,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
6,-0.5299,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
7,0.0,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
8,0.0,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
9,0.0,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
10,-0.6621,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
11,-0.2582,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
12,0.0,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
13,0.004,0.3888888888888889,12,-0.17205,0.07509299964285714,2011-05-27,123
0,-0.0048,0.08333333333333333,13,-0.03976666666666667,0.12935553555555554,2011-05-27,123
1,0.3822,0.08333333333333333,13,-0.03976666666666667,0.12935553555555554,2011-05-27,123
2,-0.4967,0.08333333333333333,13,-0.03976666666666667,0.12935553555555554,2011-05-27,123
0,0.3822,0.1,1,0.1931,0.035758809999999995,2011-10-07,124
1,0.004,0.1,1,0.1931,0.035758809999999995,2011-10-07,124
0,0.004,0.15,3,0.0026666666666666666,3.555555555555556e-06,2011-10-07,124
1,0.0,0.15,3,0.0026666666666666666,3.555555555555556e-06,2011-10-07,124
2,0.004,0.15,3,0.0026666666666666666,3.555555555555556e-06,2011-10-07,124
0,0.045,0.35,8,0.089,0.018279382857142857,2011-10-07,124
1,0.3822,0.35,8,0.089,0.018279382857142857,2011-10-07,124
2,0.0,0.35,8,0.089,0.018279382857142857,2011-10-07,124
3,0.0,0.35,8,0.089,0.018279382857142857,2011-10-07,124
4,0.004,0.35,8,0.089,0.018279382857142857,2011-10-07,124
5,0.1878,0.35,8,0.089,0.018279382857142857,2011-10-07,124
6,0.004,0.35,8,0.089,0.018279382857142857,2011-10-07,124
0,-0.17654999999999998,0.05,10,-0.17654999999999998,0.0,2011-10-07,124
0,0.0,0.1,12,0.16405,0.0269124025,2011-10-07,124
1,0.3281,0.1,12,0.16405,0.0269124025,2011-10-07,124
0,0.004,0.25,13,0.04182,0.0057214096,2011-10-07,124
1,0.1931,0.25,13,0.04182,0.0057214096,2011-10-07,124
2,0.004,0.25,13,0.04182,0.0057214096,2011-10-07,124
3,0.004,0.25,13,0.04182,0.0057214096,2011-10-07,124
4,0.004,0.25,13,0.04182,0.0057214096,2011-10-07,124
0,0.07263333333333333,0.4444444444444444,10,-0.02555595238095238,0.0050923430654761905,2013-02-25,125
1,-0.16471428571428573,0.4444444444444444,10,-0.02555595238095238,0.0050923430654761905,2013-02-25,125
2,0.0,0.4444444444444444,10,-0.02555595238095238,0.0050923430654761905,2013-02-25,125
3,-0.11636666666666666,0.4444444444444444,10,-0.02555595238095238,0.0050923430654761905,2013-02-25,125
4,0.0,0.4444444444444444,10,-0.02555595238095238,0.0050923430654761905,2013-02-25,125
5,0.004,0.4444444444444444,10,-0.02555595238095238,0.0050923430654761905,2013-02-25,125
6,0.0,0.4444444444444444,10,-0.02555595238095238,0.0050923430654761905,2013-02-25,125
7,0.0,0.4444444444444444,10,-0.02555595238095238,0.0050923430654761905,2013-02-25,125
0,-0.45505,0.2222222222222222,11,-0.22517500000000001,0.050714825624999994,2013-02-25,125
1,-0.44565,0.2222222222222222,11,-0.22517500000000001,0.050714825624999994,2013-02-25,125
2,0.0,0.2222222222222222,11,-0.22517500000000001,0.050714825624999994,2013-02-25,125
3,0.0,0.2222222222222222,11,-0.22517500000000001,0.050714825624999994,2013-02-25,125
0,-0.17654999999999998,0.2777777777777778,12,-0.13888,0.013767390600000002,2013-02-25,125
1,-0.26940000000000003,0.2777777777777778,12,-0.13888,0.013767390600000002,2013-02-25,125
2,0.0,0.2777777777777778,12,-0.13888,0.013767390600000002,2013-02-25,125
3,-0.24805000000000002,0.2777777777777778,12,-0.13888,0.013767390600000002,2013-02-25,125
4,-0.00039999999999999975,0.2777777777777778,12,-0.13888,0.013767390600000002,2013-02-25,125
0,0.0,0.05555555555555555,13,0.0,0.0,2013-02-25,125
0,-0.30555,0.04,1,-0.30555,0.0,2014-08-04,126
0,0.0,0.08,5,0.002,4e-06,2014-08-04,126
1,0.004,0.08,5,0.002,4e-06,2014-08-04,126
0,0.0,0.08,10,0.0,0.0,2014-08-04,126
1,0.0,0.08,10,0.0,0.0,2014-08-04,126
0,-0.00039999999999999975,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
1,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
2,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
3,0.044700000000000004,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
4,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
5,-0.0048,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
6,0.004,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
7,0.004,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
8,0.004,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
9,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
10,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
11,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
12,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
13,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
14,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
15,0.004,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
16,0.0,0.68,11,0.0032647058823529413,0.00011200581314878895,2014-08-04,126
0,0.0,0.04,12,0.0,0.0,2014-08-04,126
0,0.3507,0.08,13,0.17535,0.030747622500000002,2014-08-04,126
1,0.0,0.08,13,0.17535,0.030747622500000002,2014-08-04,126
0,0.0,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
1,0.004,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
2,0.1931,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
3,0.017566666666666668,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
4,0.032433333333333335,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
5,0.0,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
6,0.0,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
7,0.004,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
8,0.3607,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
9,0.0,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
10,0.004,0.8461538461538461,1,0.05598181818181818,0.01221154593204775,2007-07-26,127
0,0.046650000000000004,0.15384615384615385,13,0.09690833333333333,0.0025259000694444443,2007-07-26,127
1,0.14716666666666667,0.15384615384615385,13,0.09690833333333333,0.0025259000694444443,2007-07-26,127
0,0.1131,0.01818181818181818,0,0.1131,0.0,2017-11-24,128
0,0.004,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
1,0.0,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
2,0.0,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
3,0.0,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
4,0.0,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
5,0.0,0.2909090909090909,1,0.015441145833333334,0.008764382582194011,2017-11-24,128
